,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
65,hasaki,20.0,JP,1547355600.0,43.0,35.73,140.83,50.0,11.41
66,ushtobe,32.0,KZ,1547358016.0,73.0,45.25,77.98,22.07,3.62
67,leningradskiy,20.0,RU,1547358016.0,100.0,69.38,178.42,-18.07,8.43
68,margate,0.0,AU,1547355600.0,40.0,-43.03,147.26,71.6,18.34
69,cross lanes,92.0,GB,1547355000.0,93.0,50.05,-5.22,48.2,26.4
70,si satchanalai,20.0,TH,1547355600.0,62.0,17.52,99.76,87.8,4.7
71,tahe,36.0,CN,1547358018.0,61.0,52.34,124.71,3.62,3.51
72,cidreira,24.0,BR,1547358018.0,92.0,-30.17,-50.22,72.92,10.96
73,the valley,20.0,AI,1547355600.0,83.0,18.22,-63.06,75.2,6.93
74,ahuimanu,1.0,US,1547355780.0,86.0,21.44,-157.84,78.08,4.7
75,upernavik,32.0,GL,1547358020.0,100.0,72.79,-56.15,-6.55,8.77
76,mar del plata,0.0,AR,1547358020.0,59.0,-46.43,-67.52,51.86,8.05
77,castro,0.0,CL,1547355600.0,100.0,-42.48,-73.76,42.8,6.93
78,yellowknife,5.0,CA,1547355600.0,75.0,62.45,-114.38,-18.41,10.29
79,hualmay,20.0,PE,1547358021.0,94.0,-11.1,-77.61,62.03,1.9
80,quatre cocos,40.0,MU,1547355600.0,66.0,-20.21,57.76,84.2,11.41
81,jenison,90.0,US,1547356500.0,68.0,42.91,-85.79,28.04,16.11
82,bluff,0.0,AU,1547358022.0,34.0,-23.58,149.07,94.43,12.3
83,airai,32.0,TL,1547358023.0,64.0,-8.93,125.41,83.09,2.13
84,grand-santi,44.0,GF,1547358023.0,100.0,4.27,-54.38,71.57,2.24
85,montbrison,92.0,FR,1547355600.0,93.0,45.61,4.07,39.2,5.82
86,solnechnyy,64.0,RU,1547358024.0,78.0,50.72,136.64,-3.94,3.06
87,arraial do cabo,12.0,BR,1547358025.0,93.0,-22.97,-42.02,75.62,11.18
88,punta arenas,75.0,CL,1547355600.0,65.0,-53.16,-70.91,46.4,27.51
89,semey,0.0,KZ,1547355600.0,77.0,50.41,80.25,1.4,6.71
90,taksimo,36.0,RU,1547357811.0,70.0,56.36,114.84,-12.49,1.34
91,cape town,40.0,ZA,1547355600.0,88.0,-33.93,18.42,64.4,10.29
92,hoima,12.0,UG,1547358026.0,77.0,1.43,31.35,70.13,4.07
